dep_name|owner_name|owner_surname|date_owned|is_efficient|serial_number|issue_date|issue_desc|repair_fee|mnf_name|class_|class_sm|activity|machine_desc
Asset Management|Mikayla|Blevins|2008-03-24|1|JT24G4Z43O20PG6212KO0GH2|2016-10-19 09:13:53|Nam tempor diam dictum sapien. Aenean massa. Integer vitae nibh. Donec est mauris, rhoncus|115|Lavasoft|30|O|15:10:56|ultrices. Vivamus
Payroll|Melanie|Ortiz|2009-07-18|0|WW63K4F97M03UU1770YD5FT2|2016-10-14 09:03:54|Nulla facilisi. Sed neque. Sed eget lacus. Mauris non dui nec|21|Google|193|D|02:04:22|ligula.
Payroll|Xyla|Morin|2015-10-12|0|YJ75K8S68P49UY8025KL3FV9|2016-10-10 05:25:03|risus. Quisque libero lacus, varius|101|Finale|178|E|04:42:45|amet orci. Ut sagittis lobortis
Quality Assurance|Steel|Gutierrez|2002-11-10|1|JE25P3P61M33JW4148MJ6EM2|2016-10-18 23:41:56|et, euismod et, commodo at, libero. Morbi accumsan laoreet ipsum. Curabitur consequat, lectus|113|Borland|214|Y|17:07:52|Aenean euismod mauris eu
Payroll|Rajah|Ramirez|2002-07-18|1|JX92Q8L94U83MA2534OF0DF0|2016-10-02 16:28:45|mauris ut mi. Duis risus odio, auctor vitae, aliquet nec, imperdiet nec, leo. Morbi neque|10|Altavista|160|C|15:39:56|egestas. Aliquam nec enim. Nunc
Research and Development|Rhea|Miranda|2014-04-19|0|ZT11D4E97R58NR9634CP0QZ9|2016-10-06 21:48:18|torquent per conubia nostra,|130|Sibelius|11|X|14:08:51|sapien, cursus in, hendrerit
Customer Relations|Zoe|Schroeder|2015-01-29|0|IW68B0V43P42FB8727UO2WM7|2016-10-18 14:47:18|est ac facilisis facilisis, magna tellus faucibus leo, in lobortis tellus justo sit amet nulla. Donec|84|Chami|58|G|10:55:51|Cras eu tellus eu
Tech Support|Owen|Salinas|2010-07-31|0|BT60N9D16P39IV2807GC9WA5|2016-10-04 04:49:24|sed sem egestas blandit. Nam|109|Microsoft|120|J|00:54:31|mi fringilla mi lacinia mattis.
Legal Department|Hector|Singleton|2004-08-14|1|BN83G6P16M59IJ1304FA7ZV1|2016-10-08 00:42:48|neque et nunc. Quisque ornare|66|Google|204|S|20:27:37|non lorem vitae odio
Research and Development|Constance|Dillard|2016-02-07|0|AP85I8V60Q47LO8300SV2VN2|2016-10-15 04:01:05|ac tellus. Suspendisse|31|Sibelius|200|L|14:10:16|neque. Sed eget
Public Relations|Charde|Mitchell|2001-09-01|1|DJ59R9Q89I54TU4034KQ3AT7|2016-10-10 00:45:20|tincidunt pede ac urna. Ut tincidunt vehicula risus. Nulla eget metus eu erat semper|106|Cakewalk|61|T|01:50:05|accumsan interdum
Payroll|Eaton|Maynard|2007-12-10|1|TY18G5V16U44FK9049IX4AJ8|2016-10-06 05:52:46|tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla|27|Sibelius|41|M|15:17:11|ullamcorper
Payroll|Shana|Ellison|2002-01-31|0|AZ83N7I88Y03ZK2075YM8JE4|2016-10-17 00:52:10|auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris|109|Adobe|222|M|03:01:51|Pellentesque
Tech Support|Shelly|Weeks|2005-09-18|1|BF81V3Z77R62TM1038XE0PJ4|2016-10-04 01:47:16|est, congue a, aliquet vel, vulputate eu, odio. Phasellus at augue id|24|Chami|230|O|07:40:26|nascetur ridiculus mus.
Human Resources|Jaquelyn|Boyle|2006-09-04|0|VE50K7O66W51KE1085QL1FR0|2016-10-02 11:59:58|tempor arcu. Vestibulum ut|11|Google|88|X|23:50:42|scelerisque dui. Suspendisse ac
Finances|Chancellor|Mullins|2010-01-26|1|UN19L8V92H21YA2781EH5RY6|2016-10-06 00:12:10|diam. Proin dolor. Nulla|39|Microsoft|204|C|22:34:40|tincidunt. Donec vitae erat vel
Accounting|Ferdinand|Sweet|2007-01-27|1|WP15H0B78V59UI1981HM3GV5|2016-10-08 11:48:32|libero nec ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales|77|Lavasoft|238|R|06:34:22|velit in aliquet
Customer Service|Lawrence|Bridges|2016-04-07|0|XQ44R7Z78K75VK5303BA6BE7|2016-10-06 08:03:58|sem, vitae aliquam eros turpis non enim. Mauris quis turpis vitae|26|Lycos|111|B|16:48:55|faucibus. Morbi vehicula. Pellentesque tincidunt
Payroll|Charity|Mcbride|2008-07-28|1|KF41H0Q34A74YA9364EK9PE6|2016-10-06 12:14:45|tellus. Phasellus elit pede, malesuada vel, venenatis vel, faucibus id, libero. Donec|75|Altavista|10|Q|14:35:07|feugiat.
Tech Support|Wendy|Harrison|2015-04-24|1|PQ97Z5X04N00PA7541AY8LC8|2016-10-03 03:43:35|lacus. Ut nec urna et arcu imperdiet ullamcorper.|60|Borland|180|L|16:39:22|pharetra nibh. Aliquam
Advertising|Ruth|Trevino|2003-06-05|0|ML60T0E94R69GX3572ZR0HA0|2016-10-05 00:43:33|sem mollis dui, in sodales elit erat|146|Borland|254|Q|03:44:16|molestie. Sed
Customer Relations|Grace|Houston|2002-06-21|1|NO23S3H03S09CG5809VX9XA9|2016-10-20 18:07:06|blandit|122|Chami|199|N|08:24:25|magna,
Human Resources|Kiayada|Cooke|2000-09-12|0|PP29I7O32P17PA5174QG1BR0|2016-10-11 19:14:15|sapien. Aenean massa. Integer vitae nibh. Donec est|50|Sibelius|84|A|09:47:37|non
Media Relations|Xandra|King|2006-07-06|0|CT24Y7Q65A06FY6904AV4IR0|2016-10-18 15:29:15|vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit|137|Borland|48|U|06:35:55|Nullam nisl. Maecenas malesuada
Quality Assurance|Lucas|Dudley|2005-03-27|1|BH78V8I96L13DO1488FF5JW8|2016-10-10 12:51:35|Phasellus at augue id ante dictum cursus. Nunc mauris elit,|20|Google|123|R|11:04:30|dui augue eu tellus. Phasellus
Media Relations|Bernard|Carson|2004-08-04|1|LA44S9J74W21TW3795PH8ZA0|2016-10-17 22:23:06|consectetuer rhoncus. Nullam velit|61|Apple Systems|145|G|05:56:19|Duis
Tech Support|Gareth|Carter|2016-07-21|1|PA42J7W07W69AY1591PQ5MG9|2016-10-10 03:42:49|elementum at, egestas a, scelerisque sed, sapien.|93|Google|249|V|22:34:14|adipiscing elit. Curabitur
Finances|Shea|Barton|2006-03-29|1|MA46G5L38A36PI4292DB6NT2|2016-10-09 19:28:26|ut ipsum ac mi eleifend egestas. Sed pharetra, felis eget varius ultrices, mauris|135|Cakewalk|56|Y|02:26:32|ornare, elit elit fermentum risus,
Human Resources|Claire|Juarez|2011-10-18|0|OR13L3V69B89XR1273TY6VR5|2016-10-17 13:40:44|gravida. Praesent eu|60|Sibelius|52|N|07:17:45|consequat dolor vitae dolor. Donec
Legal Department|Karyn|Booth|2015-08-18|0|CA58J5Z51B76BV8218TG7WE2|2016-10-10 12:43:30|aptent taciti sociosqu ad litora torquent per conubia nostra, per|150|Apple Systems|198|R|15:05:21|mi eleifend egestas. Sed
Asset Management|Willa|Carroll|2013-09-08|0|RB49U9S58R25HC0717BY7BO8|2016-10-13 08:20:43|eu sem. Pellentesque ut ipsum ac|32|Lavasoft|188|Z|17:24:48|Quisque purus sapien, gravida
Legal Department|Reagan|Garza|2001-12-10|1|SU11D3K20P99IZ0173TO4BL2|2016-10-11 16:18:57|penatibus et magnis dis|116|Lycos|66|E|13:58:13|non magna. Nam ligula elit,
Accounting|Harper|Wilkins|2003-08-12|1|TD62K6A08V30QX2560TC5LP4|2016-10-16 07:06:32|Vivamus molestie dapibus ligula. Aliquam erat|144|Adobe|133|X|12:25:24|luctus,
Asset Management|Christian|English|2001-08-22|0|AT24L7P12P61RV9954IX9FT0|2016-10-03 06:40:36|nunc. Quisque ornare tortor at risus. Nunc ac sem|89|Adobe|193|Y|12:27:33|varius orci,
Research and Development|Dakota|Webb|2015-11-29|0|FB84Q9J81O51YZ8231BC3TB2|2016-10-15 02:36:26|sagittis felis. Donec tempor, est ac mattis semper, dui|16|Yahoo|69|D|01:46:25|nonummy ut,
Sales and Marketing|Oscar|Sloan|2006-05-06|0|XU29D0X85C07KH8673ZI9SP5|2016-10-09 16:01:13|Proin velit. Sed malesuada augue ut lacus. Nulla tincidunt, neque vitae|105|Altavista|253|J|12:26:47|est. Mauris eu
Media Relations|Bell|Stevenson|2014-03-22|0|ZX61X1H73B77NE4818LD6AV9|2016-10-12 03:34:11|eros turpis|106|Macromedia|184|Y|17:27:28|diam luctus
Customer Service|Leslie|Mcgee|2003-04-29|0|WV88E2X84J53PV4296TM0XA2|2016-10-05 10:01:22|Donec est. Nunc ullamcorper, velit in aliquet lobortis, nisi nibh lacinia orci, consectetuer euismod est arcu|92|Cakewalk|66|Q|16:51:26|scelerisque
Customer Relations|Keiko|Sutton|2009-06-23|0|SB47A6D97X13AB8511UZ0CT9|2016-10-12 14:10:24|dui quis accumsan convallis, ante lectus convallis est, vitae sodales nisi|78|Microsoft|139|P|23:03:26|Integer id
Human Resources|Kelsie|Whitfield|2007-08-19|0|TR64E1R85R31ZY8106KZ3TA8|2016-10-06 03:40:42|est.|129|Chami|195|X|23:53:01|auctor, nunc nulla
Legal Department|Serena|Sellers|2002-05-16|1|WV45G0H36R05FW3572MZ1VZ0|2016-10-06 19:04:19|Curabitur|101|Sibelius|42|Z|19:10:23|Maecenas iaculis aliquet diam.
Media Relations|Genevieve|Gamble|2002-05-13|1|JA07F5G74J84AG3018IN3UT8|2016-10-13 23:01:49|Fusce feugiat. Lorem ipsum dolor|48|Lavasoft|18|L|11:13:25|iaculis odio. Nam interdum enim
Media Relations|Alana|Holman|2003-12-25|0|GD84O6I22R37MK4652QY6ZD7|2016-10-07 12:33:42|at, iaculis quis, pede.|128|Finale|104|O|22:49:20|Morbi accumsan laoreet
Legal Department|Arthur|Stone|2010-10-10|1|YU06E0B92T38EF7072DX7WB3|2016-10-15 21:46:50|tincidunt, neque vitae semper egestas, urna justo|80|Lavasoft|227|P|15:38:17|aliquam eu, accumsan
Media Relations|Chadwick|Hawkins|2000-01-10|1|NV79X1J03A90MZ8703HG8PI3|2016-10-12 16:12:03|sit amet, consectetuer adipiscing|48|Altavista|203|K|19:36:21|Pellentesque
Customer Service|Ian|Rowe|2013-10-18|1|HH19T6Q51U35XP9863EX1KU1|2016-10-09 12:17:17|lacus,|1|Google|240|R|07:18:26|In lorem. Donec elementum, lorem
Accounting|Coby|Rodriquez|2002-12-07|0|UK45X3W06I03IW6254NK2YR8|2016-10-13 18:28:43|ut mi. Duis risus odio, auctor vitae, aliquet nec,|48|Microsoft|174|N|10:33:04|elit. Aliquam
Quality Assurance|Dolan|Cobb|2009-04-06|1|TD37Q7Z92X67EQ1080KO3ZG4|2016-10-08 07:07:53|massa. Suspendisse eleifend. Cras sed leo. Cras|61|Macromedia|2|Z|08:31:03|Phasellus
Public Relations|Davis|Graham|2006-11-14|0|HU86X1U04D04HF0544WC5OT7|2016-10-10 21:26:09|ultrices, mauris ipsum porta elit, a feugiat tellus lorem eu metus.|69|Chami|235|N|05:39:00|turpis.
Sales and Marketing|Anjolie|Yang|2008-12-15|0|IJ84J3R18K03OG1793LP6QV7|2016-10-14 19:37:26|natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.|96|Cakewalk|141|N|23:41:01|erat. Sed nunc
Sales and Marketing|Jonah|Mcclain|2016-03-27|1|TQ68D9F24L89AY6774TB7LZ9|2016-10-04 01:43:31|vel est tempor bibendum. Donec felis orci, adipiscing non, luctus sit amet, faucibus ut,|118|Apple Systems|24|H|14:47:30|dolor vitae dolor.
Legal Department|Nathan|Hughes|2008-08-14|0|FD43P6M20B33OM6736IY7RZ8|2016-10-15 12:24:50|Cras vulputate velit eu sem. Pellentesque ut ipsum ac mi eleifend egestas. Sed pharetra, felis eget|55|Cakewalk|155|E|23:45:40|sem,
Legal Department|Xandra|Elliott|2015-03-23|0|NZ15B6F64Y26AJ3723CL2GH1|2016-10-06 04:45:50|dictum eu, eleifend nec,|142|Microsoft|85|C|04:29:38|diam. Sed diam lorem,
Accounting|Daphne|Reed|2016-02-08|1|ZK08Q3H01G32WT6783BB5ON9|2016-10-04 16:50:16|Phasellus in felis. Nulla tempor|82|Finale|187|T|06:59:35|magna. Ut tincidunt orci
Asset Management|Cynthia|Lancaster|2010-11-26|1|BX69C0D54M31CX6339CS3HS2|2016-10-18 04:47:30|velit eget laoreet posuere, enim nisl elementum|53|Lavasoft|211|U|05:29:14|sem ut
Payroll|Burton|Orr|2010-09-17|1|EZ58E4P59T37BG4054ZZ2HQ7|2016-10-17 03:50:28|Ut semper pretium neque. Morbi quis urna. Nunc quis arcu vel quam dignissim pharetra. Nam|28|Altavista|65|W|17:37:27|sollicitudin adipiscing
Accounting|Forrest|Sheppard|2002-12-22|0|YW21T2W27N55XV6713DN9SD2|2016-10-20 18:56:26|venenatis|35|Altavista|122|M|06:25:36|egestas ligula. Nullam feugiat
Sales and Marketing|Linda|Pace|2014-04-11|0|NP06S7Z67B11RN4969QY9GY0|2016-10-15 21:00:26|Integer aliquam|123|Sibelius|209|Q|01:35:49|dolor.
Media Relations|Leo|Graves|2012-10-31|1|XM03H8M03J89LJ1089NY7AH5|2016-10-20 17:08:49|In condimentum. Donec at arcu. Vestibulum ante ipsum primis in|39|Altavista|93|H|02:26:38|erat
Accounting|Todd|Roy|2008-10-12|0|TA36O7I51J94JS1556QW0MF8|2016-10-10 01:57:47|Duis gravida. Praesent eu nulla at sem molestie sodales. Mauris blandit enim consequat purus.|48|Apple Systems|47|D|08:20:26|malesuada malesuada. Integer
Finances|Kitra|Noble|2016-04-05|1|IN74Z4I76K97XO6569UH2CM6|2016-10-19 09:42:16|risus. Donec nibh enim,|38|Macromedia|150|F|18:08:19|urna, nec luctus felis purus
Customer Relations|Simon|Noel|2005-12-05|1|EB91X3P15R67NE5928LA4CY5|2016-10-18 06:12:42|arcu. Vivamus sit amet risus. Donec egestas. Aliquam|30|Chami|142|Q|20:05:47|aliquet
Asset Management|Astra|Bird|2011-06-04|1|PE60M4X34I90NZ8208UN9VD9|2016-10-09 00:03:15|a, aliquet vel, vulputate eu, odio. Phasellus at|17|Macromedia|41|C|03:56:47|quam. Curabitur vel
Media Relations|Dalton|Chen|2002-09-19|1|FA98Y7X79K90XQ0351PE8WQ5|2016-10-19 06:59:24|orci quis|74|Lavasoft|46|J|20:18:29|nunc est, mollis
Public Relations|Jocelyn|Peck|2013-02-03|0|NT04Q6D40S64HS4918UD5MA8|2016-10-11 23:12:24|magna. Cras convallis convallis dolor. Quisque tincidunt pede ac urna. Ut tincidunt|105|Finale|79|W|04:16:10|ac
Advertising|Wynne|Henry|2013-04-14|1|UL06X8G51X89AL5592ZI1YE9|2016-10-15 23:37:59|nibh lacinia orci, consectetuer euismod est arcu ac orci. Ut semper pretium|132|Altavista|68|A|17:36:43|nec
Accounting|Nelle|Garcia|2016-02-21|0|TU88X4U26W56XV0464IO2HK2|2016-10-14 04:30:09|dictum mi, ac mattis|132|Sibelius|207|P|23:23:32|aliquet lobortis, nisi
Public Relations|acqueline|Middleton|2003-02-26|1|CZ69E5I16G92VQ6487PJ4AD4|2016-10-02 18:54:33|rhoncus id, mollis nec, cursus a, enim. Suspendisse aliquet, sem ut|73|Cakewalk|199|J|19:49:00|diam at pretium aliquet, metus
Research and Development|Jaime|Mclean|2012-10-18|1|GV87A0T55J38FY8606YT8OL1|2016-10-09 06:42:34|elit. Etiam laoreet, libero et tristique pellentesque, tellus sem mollis dui, in|99|Chami|90|Z|08:46:36|magna. Duis
Legal Department|Renee|Copeland|2013-12-03|1|WS97Z0S97F37OX7716QI3KC5|2016-10-08 03:33:30|eros non enim commodo hendrerit. Donec|76|Microsoft|220|R|07:07:13|neque vitae semper
Human Resources|Kerry|Branch|2010-05-16|0|KI42G8E91W78JE4531KD2QI3|2016-10-11 22:53:32|vulputate, risus a ultricies adipiscing, enim mi|19|Cakewalk|30|N|00:36:22|scelerisque,
Finances|Cade|Rose|2006-05-27|1|WQ10R9Z96D01EN8659IX0FX5|2016-10-15 11:43:35|lacus. Aliquam rutrum lorem ac risus. Morbi metus.|142|Lycos|116|A|05:42:30|dui augue eu
Legal Department|Channing|Rasmussen|2000-07-26|1|SC93L0Z70G20SW5016JS6SN5|2016-10-19 01:42:45|Cras vulputate velit eu sem. Pellentesque ut ipsum ac mi eleifend|124|Cakewalk|68|D|11:31:11|amet,
Quality Assurance|Drake|Craft|2004-11-30|0|KX75Y8Q97T28YF8720DS8GV2|2016-10-17 00:30:31|non magna. Nam ligula elit, pretium et, rutrum non, hendrerit id, ante. Nunc mauris sapien,|68|Cakewalk|38|S|10:05:58|nisi. Aenean eget metus.
Quality Assurance|Jasper|Conner|2009-03-25|1|XL30F8B53V70NV0062QO2BT9|2016-10-12 19:47:10|non quam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames|50|Yahoo|49|N|22:08:38|consectetuer euismod
Media Relations|Basia|Kennedy|2012-10-01|1|TS77Z9R36Y52GG5605HK1FX4|2016-10-12 04:35:09|Aliquam nec|98|Apple Systems|83|S|08:33:56|et, magna. Praesent interdum
Customer Service|Brielle|Mason|2014-08-06|0|EN09G9Q60Z98PO7877PI1NB4|2016-10-05 08:38:29|vulputate, risus a ultricies adipiscing, enim mi tempor lorem, eget mollis lectus pede et risus.|123|Adobe|192|U|13:05:20|Morbi
Sales and Marketing|Caesar|Hill|2015-02-01|0|IP35T4R42X20YP3775KM9ET4|2016-10-06 04:55:59|in consectetuer ipsum nunc id enim. Curabitur|133|Lycos|121|K|05:33:17|laoreet lectus quis massa. Mauris
Research and Development|Mona|Walters|2002-03-31|0|OH37F0K72I26HR6693NO5IJ5|2016-10-17 22:55:44|non massa non ante bibendum ullamcorper. Duis cursus, diam at|70|Microsoft|77|Z|13:46:02|lobortis tellus justo
Media Relations|Isaiah|Hawkins|2013-02-25|1|SG23V1A78Y08LS4590AS1CU6|2016-10-16 12:03:06|quis accumsan convallis, ante lectus convallis est, vitae sodales nisi magna sed|112|Microsoft|231|C|22:48:27|sodales at,
Finances|Lawrence|Mcneil|2001-05-03|1|YF94D1F11U02EJ9027YF1ZF4|2016-10-03 10:31:38|ullamcorper eu, euismod ac, fermentum vel, mauris. Integer sem elit, pharetra|19|Google|244|F|06:51:32|amet
Customer Relations|Sasha|Riley|2007-09-27|0|NG21F3X35U38YM4062XS3YU5|2016-10-12 13:33:22|enim, gravida sit amet, dapibus id, blandit|124|Lavasoft|169|T|15:03:08|in, hendrerit
Research and Development|Veronica|Clayton|2004-06-09|0|HA29Z2X86M54WC6674SH0CU3|2016-10-05 00:12:52|auctor|24|Macromedia|55|S|06:49:55|metus. In nec orci.
Advertising|Harper|Velazquez|2011-09-02|1|OV99R2P34W62OS0846QX4KL0|2016-10-06 22:29:31|velit eget laoreet posuere, enim nisl elementum purus,|59|Apple Systems|94|U|08:33:20|ac mattis
Payroll|Ashely|Molina|2003-11-27|0|JP36M1E93E31LH6705RN3CJ6|2016-10-16 05:49:46|auctor velit. Aliquam nisl. Nulla eu neque pellentesque massa|133|Google|30|Y|06:56:41|Cras eget nisi
Human Resources|Amity|Newton|2007-10-15|0|RU26P8S54D63SE6949QL8TN0|2016-10-14 01:38:18|Vivamus non lorem vitae odio sagittis semper. Nam tempor|139|Chami|87|D|21:55:36|facilisis vitae,
Accounting|Alisa|Berg|2010-04-08|0|IX59J4I59E90KZ3291AN4QX1|2016-10-07 04:32:59|lorem tristique aliquet. Phasellus fermentum|12|Altavista|137|Y|18:12:25|ornare,
Customer Service|Tate|Sellers|2004-02-07|0|VZ53A9G49F99GW8606IF0JB2|2016-10-17 04:36:20|cursus a, enim. Suspendisse aliquet, sem ut cursus luctus, ipsum leo|46|Altavista|165|N|01:41:15|lacus, varius et, euismod et,
Accounting|Signe|Steele|2000-10-24|0|HT12Y3F38D03ZX7641ZK7IR4|2016-10-17 08:50:14|dictum augue malesuada malesuada. Integer id magna et ipsum cursus vestibulum. Mauris magna. Duis dignissim tempor|44|Lavasoft|79|F|22:28:15|eu arcu. Morbi sit
Public Relations|Chaim|Moss|2001-04-19|0|DJ12I9S51Z84QD5001PB1XI8|2016-10-09 21:55:40|Duis cursus, diam at pretium aliquet, metus urna convallis erat, eget|10|Chami|231|T|16:59:26|dictum augue malesuada malesuada.
Sales and Marketing|Julie|Reese|2002-07-27|0|MS25X6Q85X73OG1781CB1PD4|2016-10-05 10:39:15|ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi sem semper erat, in consectetuer ipsum nunc|65|Chami|250|H|01:12:11|arcu.
Tech Support|Evangeline|Walker|2004-04-05|1|VV65G3W39T32YV7312VM6LM3|2016-10-15 18:23:21|sem eget massa. Suspendisse eleifend. Cras sed leo. Cras|125|Google|166|M|15:36:09|eu
Tech Support|Rigel|Leon|2000-08-26|1|QB10C0V01P66PG9413KW3DA7|2016-10-17 07:43:01|Curae; Donec tincidunt.|80|Google|161|W|17:17:26|Fusce mollis. Duis
Quality Assurance|Eden|Hess|2008-04-22|1|WO65T8I70G49UR0233EJ4KO6|2016-10-14 09:26:19|nunc sit amet metus. Aliquam erat|74|Sibelius|48|M|03:48:17|leo. Morbi neque tellus,
Human Resources|Ulysses|Hardy|2003-04-04|1|EK00A3V93P18ID9133HV2WR5|2016-10-11 12:56:19|lorem eu|119|Sibelius|116|R|18:02:31|a mi fringilla mi lacinia
Legal Department|Theodore|Estrada|2013-12-02|0|GF56G1L07N53MI1323RN3EP0|2016-10-12 06:10:26|in faucibus orci luctus|84|Yahoo|138|Y|08:18:22|adipiscing lacus. Ut nec urna
Asset Management|James|Acosta|2004-10-21|0|NX11M4A48O08MA0536XL6QQ3|2016-10-17 06:37:21|pede ac urna. Ut tincidunt vehicula risus.|105|Lycos|209|O|18:22:51|ornare, libero
Human Resources|Kibo|Marsh|2004-07-11|0|LP95U0C05O81VE7197CS1TD1|2016-10-18 10:19:54|sem ut dolor dapibus gravida. Aliquam tincidunt, nunc ac mattis ornare, lectus|41|Adobe|25|E|13:09:17|Curabitur massa. Vestibulum
Quality Assurance|Yen|Mann|2003-05-21|0|TM84X0G43Q55DM8351JQ2NN3|2016-10-02 04:58:49|risus. Donec egestas. Aliquam nec enim. Nunc ut erat. Sed nunc est, mollis non,|72|Macromedia|44|K|12:22:58|eros nec tellus. Nunc
Public Relations|Rowan|Pate|2002-10-18|1|RN34V7F36K50CW9653KP3JE8|2016-10-07 07:27:12|ultricies ligula. Nullam enim. Sed nulla ante, iaculis nec, eleifend non, dapibus|75|Macromedia|12|M|04:21:45|nibh. Donec
Media Relations|Shelly|Livingston|2013-01-01|0|HP10A7R66X71EW4363YW8UL4|2016-10-14 17:25:19|condimentum. Donec at arcu. Vestibulum ante ipsum primis in|102|Altavista|130|H|13:53:43|magna a tortor. Nunc commodo
Legal Department|Avram|Horton|2002-10-07|0|HI76G6T81M34JB6714NE1DY2|2016-10-10 18:28:14|mauris. Morbi non sapien|23|Finale|132|K|14:41:32|sit
Customer Relations|Kellie|Harris|2002-07-28|0|OA13I3U33K87LU2048EP6KX4|2016-10-20 23:09:51|non, bibendum sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum eleifend,|68|Apple Systems|15|L|09:44:02|Donec nibh enim,
Research and Development|Nita|Lindsey|2012-07-03|1|OB85X0W55O60AD2778HN1NS2|2016-10-14 02:07:34|a feugiat tellus lorem|126|Chami|23|M|03:49:51|amet risus. Donec egestas.
Asset Management|Carlos|Vaughn|2009-03-26|0|LA85R1T10M25GJ1214DH2CX8|2016-10-10 02:15:15|ultrices posuere cubilia Curae; Donec tincidunt.|31|Cakewalk|34|H|02:01:09|neque vitae semper
Customer Relations|Nathan|Morse|2011-06-15|0|OZ52X3E53B65MC2971XP2DN2|2016-10-19 08:47:53|dictum eu, placerat|2|Lycos|133|V|16:44:43|elit. Aliquam auctor,
Tech Support|Kermit|Allison|2005-05-15|0|HB65I2C83Z31LI0127AE9CE7|2016-10-20 20:19:23|Proin vel arcu eu odio tristique pharetra. Quisque|44|Google|194|V|00:19:02|amet
